time,open,high,low,close,Buy Raw,Liq Long,Sell Raw,Liq Short,Swing High,Swing Low,Bullish BOS,Bearish BOS,Bullish CHOCH,Bearish CHOCH
1753056000,0.1465,0.1466,0.1465,0.1466,0,0,0,0,1,1,0,0,0,0
1753056060,0.1466,0.1466,0.1464,0.1465,0,0,0,0,1,1,0,0,0,0
1753056180,0.1465,0.1466,0.1465,0.1466,0,0,0,0,1,1,0,0,0,0
1753056240,0.1466,0.1466,0.1465,0.1465,0,0,0,0,1,1,0,0,0,0
1753056300,0.1465,0.1465,0.1461,0.1461,0,0,0,0,1,1,0,0,0,0
1753056360,0.1461,0.1461,0.1461,0.1461,0,0,0,0,1,1,0,0,0,0
1753056420,0.1461,0.1462,0.1461,0.1462,0,0,0,0,0,0,0,0,0,0
1753056480,0.1462,0.1462,0.1457,0.1457,0,0,0,0,0,0,0,0,0,0
1753056540,0.1457,0.1458,0.1457,0.1458,0,0,0,0,0,0,0,0,0,0
1753056600,0.1458,0.1458,0.1456,0.1456,0,0,0,0,0,0,0,0,0,0
1753056660,0.1456,0.1456,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0
1753056720,0.1455,0.1456,0.1455,0.1456,0,0,0,0,0,0,0,0,0,0
1753056780,0.1456,0.1456,0.1454,0.1454,0,0,0,0,0,0,0,0,0,0
1753056840,0.1454,0.1454,0.1449,0.1449,0,0,0,0,0,0,0,0,0,0
1753056900,0.1449,0.145,0.1448,0.145,0,1,0,0,0,0,0,0,0,0
1753056960,0.145,0.1452,0.1448,0.1451,0,0,0,0,0,0,0,0,0,0
1753057020,0.1451,0.1451,0.1451,0.1451,0,0,0,0,0,0,0,0,0,0
1753057080,0.1451,0.1451,0.1449,0.1449,0,0,0,0,0,0,0,0,0,0
1753057140,0.1449,0.145,0.1449,0.1449,0,0,0,0,0,0,0,0,0,0
1753057200,0.1449,0.1451,0.1449,0.145,0,0,0,0,0,0,0,0,0,0
1753057260,0.145,0.1451,0.145,0.145,0,0,0,0,0,0,0,0,0,0
1753057320,0.145,0.145,0.1449,0.1449,0,0,0,0,0,0,0,0,0,0
1753057380,0.1449,0.1449,0.1448,0.1448,0,0,0,0,0,0,0,0,0,0
1753057440,0.1448,0.1451,0.1448,0.1451,0,0,0,0,0,0,0,0,0,0
1753057500,0.1451,0.1452,0.1451,0.1452,0,0,0,0,0,0,0,0,0,0
1753057560,0.1452,0.1456,0.1452,0.1455,0,0,0,0,0,0,0,0,0,0
1753057620,0.1455,0.1456,0.1455,0.1456,0,0,0,0,0,0,0,0,0,0
1753057680,0.1456,0.1456,0.1456,0.1456,0,0,0,0,0,0,0,0,0,0
1753057740,0.1456,0.1457,0.1456,0.1456,0,0,0,0,0,0,0,0,0,0
1753057800,0.1456,0.1456,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0
1753057860,0.1455,0.1456,0.1454,0.1456,0,0,0,0,0,0,0,0,0,0
1753057920,0.1456,0.1456,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0
1753057980,0.1455,0.1455,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0
1753058040,0.1455,0.1455,0.1451,0.1451,0,0,0,0,0,0,0,0,0,0
1753058100,0.1451,0.1451,0.1451,0.1451,0,0,0,0,1,0,0,0,0,0
1753058160,0.1451,0.1451,0.1449,0.1449,0,0,0,0,0,0,0,0,0,0
1753058220,0.1449,0.1452,0.1449,0.1452,0,0,0,0,0,0,0,0,0,0
1753058280,0.1452,0.1453,0.1452,0.1453,0,0,0,0,0,0,0,0,0,0
1753058340,0.1453,0.1453,0.1451,0.1451,0,0,0,0,0,0,0,0,0,0
1753058400,0.1451,0.1456,0.1451,0.1456,0,0,0,0,0,0,0,0,0,0
1753058460,0.1456,0.1456,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0
1753058520,0.1455,0.1455,0.1454,0.1454,0,0,0,0,0,0,0,0,0,0
1753058580,0.1454,0.1454,0.1453,0.1453,0,0,0,0,0,0,0,0,0,0
1753058640,0.1453,0.1453,0.1453,0.1453,0,0,0,0,0,0,0,0,0,0
1753058700,0.1453,0.1453,0.1452,0.1452,0,0,0,0,0,0,0,0,0,0
1753058760,0.1452,0.1454,0.1452,0.1454,0,0,0,0,0,0,0,0,0,0
1753058820,0.1454,0.1454,0.1454,0.1454,0,0,0,0,0,0,0,0,0,0
1753058880,0.1454,0.1456,0.1454,0.1456,0,0,0,0,0,0,0,0,0,0
1753058940,0.1456,0.1458,0.1456,0.1458,0,0,0,0,0,0,0,0,0,0
1753059000,0.1458,0.1458,0.1456,0.1456,0,0,0,0,0,0,0,0,0,0
1753059060,0.1456,0.1456,0.1456,0.1456,0,0,0,0,0,0,0,0,0,0
1753059120,0.1456,0.1457,0.1456,0.1457,0,0,0,0,0,0,0,0,0,0
1753059180,0.1457,0.1458,0.1456,0.1457,0,0,0,0,0,0,0,0,0,0
1753059240,0.1457,0.1458,0.1456,0.1456,0,0,0,0,0,0,0,0,0,0
1753059300,0.1456,0.1456,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0
1753059360,0.1455,0.1456,0.1455,0.1456,0,0,0,0,0,0,0,0,0,0
1753059420,0.1456,0.1457,0.1456,0.1456,0,0,0,0,0,0,0,0,0,0
1753059480,0.1456,0.1456,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0
1753059540,0.1455,0.1456,0.1455,0.1456,0,0,0,0,0,0,0,0,0,0
1753059600,0.1456,0.1457,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0
1753059660,0.1455,0.1457,0.1455,0.1456,0,0,0,0,0,0,0,0,0,0
1753059720,0.1456,0.1457,0.1456,0.1457,0,0,0,0,0,0,0,0,0,0
1753059780,0.1457,0.1461,0.1457,0.1461,0,0,0,0,0,0,0,0,0,0
1753059840,0.1461,0.1462,0.1461,0.1462,0,0,0,0,0,0,0,0,0,0
1753059900,0.1462,0.1462,0.1462,0.1462,0,0,0,0,0,0,0,0,0,0
1753059960,0.1462,0.1463,0.1461,0.1462,0,0,0,0,0,0,0,0,0,0
1753060020,0.1462,0.1462,0.1459,0.1462,0,0,0,0,0,0,0,0,0,0
1753060080,0.1462,0.1462,0.1462,0.1462,0,0,0,0,0,0,0,0,0,0
1753060140,0.1462,0.1462,0.1461,0.1462,0,0,0,0,0,0,0,0,0,0
1753060200,0.1462,0.1462,0.1457,0.1457,0,0,0,0,0,0,0,0,0,0
1753060260,0.1457,0.1459,0.1457,0.1459,0,0,0,0,0,0,0,0,0,0
1753060320,0.1459,0.1459,0.1458,0.1459,0,0,0,0,1,0,0,0,0,0
1753060380,0.1459,0.1461,0.1459,0.1461,0,0,0,0,0,0,0,0,0,0
1753060440,0.1461,0.1461,0.1461,0.1461,0,0,0,0,0,0,0,0,0,0
1753060500,0.1461,0.1461,0.146,0.1461,0,0,0,0,0,0,0,0,0,0
1753060560,0.1461,0.1461,0.1458,0.1458,0,0,0,0,0,0,0,0,0,0
1753060620,0.1458,0.1459,0.1458,0.1459,0,0,0,0,0,0,0,0,0,0
1753060680,0.1459,0.1459,0.1458,0.1459,0,0,0,0,0,0,0,0,0,0
1753060740,0.1459,0.1459,0.1458,0.1459,0,0,0,0,0,0,0,0,0,0
1753060800,0.1459,0.1459,0.1458,0.1458,0,0,0,0,0,0,0,0,0,0
1753060860,0.1458,0.1458,0.1456,0.1456,0,0,0,0,0,0,0,0,0,0
1753060920,0.1456,0.1456,0.1456,0.1456,0,0,0,0,0,0,0,0,0,0
1753060980,0.1456,0.1456,0.1454,0.1454,0,0,0,0,0,0,0,0,0,0
1753061040,0.1454,0.1456,0.1454,0.1455,0,0,0,0,0,0,0,0,0,0
1753061100,0.1455,0.1455,0.1453,0.1453,0,0,0,0,0,0,0,0,0,0
1753061160,0.1453,0.1453,0.1451,0.1451,0,0,0,0,0,0,0,0,0,0
1753061220,0.1451,0.1451,0.1449,0.1451,0,0,0,0,0,0,0,0,0,0
1753061280,0.1451,0.1453,0.1451,0.1453,0,0,0,0,0,0,0,0,0,0
1753061340,0.1453,0.1454,0.1453,0.1454,0,0,0,0,0,0,0,0,0,0
1753061400,0.1454,0.1454,0.1454,0.1454,0,0,0,0,0,0,0,0,0,0
1753061460,0.1454,0.1456,0.1454,0.1454,0,0,0,0,0,0,0,0,0,0
1753061520,0.1454,0.1454,0.1454,0.1454,0,0,0,0,0,0,0,0,0,0
1753061580,0.1454,0.1454,0.1453,0.1453,0,0,0,0,0,1,0,0,0,0
1753061640,0.1453,0.1453,0.1448,0.1448,0,0,0,0,0,0,0,1,0,0
1753061700,0.1448,0.1448,0.1447,0.1448,0,0,0,0,0,0,0,1,0,0
1753061760,0.1448,0.1448,0.1446,0.1446,0,0,0,0,0,0,0,1,0,0
1753061820,0.1446,0.1446,0.1444,0.1445,0,0,0,0,1,0,0,1,0,0
1753061880,0.1445,0.1445,0.1445,0.1445,0,0,0,0,0,0,0,1,0,0
1753061940,0.1445,0.1445,0.1441,0.1445,0,0,0,0,0,0,0,1,0,0
1753062000,0.1445,0.1448,0.1444,0.1448,0,0,0,0,0,0,0,1,0,0
1753062120,0.1448,0.145,0.1448,0.145,0,0,0,0,0,0,0,0,0,0
1753062180,0.145,0.145,0.145,0.145,0,0,0,0,0,0,0,0,0,0
1753062300,0.145,0.1451,0.145,0.1451,0,0,0,0,0,0,0,0,0,0
