time,open,high,low,close,Buy Raw,Liq Long,Sell Raw,Liq Short,Swing High,Swing Low,Bullish BOS,Bearish BOS,Bullish CHOCH,Bearish CHOCH
1754690940,0.2219,0.2249,0.2219,0.2246,0,0,0,0,0,0,0,0,0,0
1754691120,0.2246,0.225,0.2228,0.2235,0,0,0,1,0,0,0,0,0,0
1754691300,0.2235,0.2236,0.2219,0.2223,0,0,0,0,0,0,0,0,0,0
1754691480,0.2223,0.2233,0.222,0.2221,0,0,0,0,0,0,0,0,0,0
1754691660,0.2221,0.2231,0.2221,0.2226,0,0,0,0,0,0,0,0,0,0
1754691840,0.2226,0.2231,0.2224,0.2226,0,0,0,0,0,0,0,0,0,0
1754692020,0.2226,0.2228,0.222,0.2222,0,0,0,0,0,0,0,0,0,0
1754692200,0.2222,0.2225,0.2213,0.2217,0,0,0,0,1,0,0,0,0,0
1754692380,0.2217,0.2222,0.2187,0.2198,0,0,0,0,0,0,0,0,0,0
1754692560,0.2198,0.2202,0.2188,0.2199,0,0,0,0,0,0,0,0,0,0
1754692740,0.2199,0.2249,0.2197,0.2229,0,0,0,0,0,0,0,0,0,0
1754692920,0.2229,0.2245,0.2229,0.2244,0,0,0,0,0,0,0,0,0,0
1754693100,0.2244,0.2279,0.2243,0.2277,0,0,0,0,0,0,1,0,0,0
1754693280,0.2277,0.2294,0.2264,0.2273,0,0,0,1,0,0,1,0,0,0
1754693460,0.2273,0.2278,0.2262,0.2267,0,0,0,0,0,1,1,0,0,0
1754693640,0.2267,0.2275,0.224,0.2242,0,0,0,0,0,0,0,0,0,0
1754693820,0.2242,0.2242,0.2215,0.2226,0,0,0,0,0,0,0,0,0,0
1754694000,0.2226,0.2238,0.2221,0.2238,0,0,0,0,0,0,0,0,0,0
1754694180,0.2238,0.2242,0.2226,0.2228,0,0,0,0,0,0,0,0,0,0
1754694360,0.2228,0.2232,0.2216,0.222,0,0,0,0,1,0,0,0,0,0
1754694540,0.222,0.223,0.2213,0.2216,0,0,0,0,0,0,0,0,0,0
1754694720,0.2216,0.2219,0.2207,0.2207,0,0,0,0,0,0,0,0,0,0
1754694900,0.2207,0.2207,0.2195,0.2196,0,0,0,0,0,0,0,0,0,0
1754695080,0.2196,0.2202,0.2184,0.2198,0,1,0,0,0,0,0,0,0,0
1754695260,0.2198,0.2198,0.2183,0.2186,0,0,0,0,0,0,0,1,0,0
1754695440,0.2186,0.2189,0.2156,0.2158,0,0,0,0,0,0,0,1,0,0
1754695620,0.2158,0.2164,0.2133,0.2141,0,0,0,0,0,0,0,1,0,0
1754695800,0.2141,0.2142,0.2127,0.2138,0,0,0,0,0,0,0,1,0,0
1754695980,0.2138,0.2161,0.2138,0.2148,0,0,0,0,0,0,0,1,0,0
1754696160,0.2148,0.2151,0.2141,0.2144,0,0,0,0,0,0,0,1,0,0
1754696340,0.2144,0.2146,0.213,0.2137,0,0,0,0,0,0,0,1,0,0
1754696520,0.2137,0.2139,0.2127,0.2129,0,0,0,0,0,0,0,1,0,0
1754696700,0.2129,0.2139,0.2126,0.2138,0,1,0,0,0,0,0,1,0,0
1754696880,0.2138,0.2146,0.2134,0.2138,0,0,0,0,0,0,0,1,0,0
