time,open,high,low,close,Buy Raw,Liq Long,Sell Raw,Liq Short,Swing High,Swing Low,Bullish BOS,Bearish BOS,Bullish CHOCH,Bearish CHOCH
1754750160,3.2853,3.2919,3.285,3.2903,0,0,0,0,0,0,0,0,0,0
1754750340,3.2903,3.291,3.2874,3.2879,0,0,0,0,0,0,0,0,0,0
1754750520,3.2879,3.2889,3.286,3.2865,0,0,0,0,0,0,0,0,0,0
1754750700,3.2865,3.2883,3.2787,3.2861,0,0,0,0,0,0,0,0,0,0
1754750880,3.2861,3.2867,3.2829,3.2852,0,0,0,0,0,0,0,0,0,0
1754751060,3.2852,3.2883,3.283,3.283,0,0,0,0,0,0,0,0,0,0
1754751240,3.283,3.2906,3.283,3.2903,0,0,0,0,1,0,0,0,0,0
1754751420,3.2903,3.295,3.2903,3.2943,0,0,0,0,0,0,1,0,0,0
1754751600,3.2943,3.2947,3.2896,3.2947,0,0,0,0,0,0,1,0,0,0
1754751780,3.2947,3.295,3.2879,3.2919,0,0,0,0,0,1,0,0,0,0
1754751960,3.2919,3.2919,3.2823,3.2845,0,0,0,0,0,0,0,0,0,0
1754752140,3.2845,3.2889,3.2802,3.2832,0,0,0,0,0,0,0,0,0,0
1754752320,3.2832,3.288,3.2816,3.2868,0,0,0,0,0,0,0,0,0,0
1754752500,3.2868,3.294,3.2857,3.2939,0,0,0,0,0,0,1,0,0,0
1754752680,3.2939,3.2939,3.2851,3.2857,0,0,0,0,0,0,0,0,0,0
1754752860,3.2857,3.2857,3.2616,3.2732,0,0,0,0,0,0,0,1,0,0
1754753040,3.2732,3.2769,3.27,3.2764,0,0,0,0,0,0,0,1,0,0
1754753220,3.2764,3.2786,3.2691,3.273,0,0,0,0,0,0,0,1,0,0
1754753400,3.273,3.2768,3.2705,3.2728,0,0,0,0,0,0,0,1,0,0
1754753580,3.2728,3.2749,3.271,3.2734,0,0,0,0,0,0,0,1,0,0
1754753760,3.2734,3.274,3.2661,3.268,0,0,0,0,0,0,0,1,0,0
1754753940,3.268,3.2742,3.2647,3.2717,0,1,0,0,0,1,0,0,0,0
1754754120,3.2717,3.2734,3.2692,3.2726,0,0,0,0,0,0,0,0,0,0
1754754300,3.2726,3.2792,3.2688,3.2769,0,0,0,0,0,0,0,0,0,0
1754754480,3.2769,3.2776,3.2736,3.2748,0,0,0,0,0,0,0,0,0,0
